placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,saturday,sunday,monday,tuesday,wednesday,thursday,friday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.com/maps/place/Europa+Galerie/data=!4m7!3m6!1s0x4795b6a960ac17fd:0xb9be345dd31096e!8m2!3d49.2396132!4d6.9893111!16s%2Fg%2F121m79sq!19sChIJ_ResYKm2lUcRbgkx3UXjmws,Europa Galerie,4.2,12325,Shopping mall,"Contemporary shopping center offering global brands, services & an international food court.","Trierer Str. 1, 66111 Saarbrücken, Germany","6XQQ+RP Saarbrücken, Germany",https://www.europagalerie.de/,+49 681 7559550,9:30 AM–8 PM,Closed,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipOyGDu6mv1opALtbc_GdRKk6nkLZ_yF3yKKCfyB=w408-h544-k-no,TRUE,49.2395625,6.9893125,einkaufszentrum in saarbrücken,2023-06-10T10:53:49.716Z,
https://www.google.com/maps/place/Saarbasar+Saarbr%C3%BCcken/data=!4m7!3m6!1s0x4795b5d4f1491489:0x78b44c6978526458!8m2!3d49.227932!4d7.035466!16s%2Fg%2F121rcgsf!19sChIJiRRJ8dS1lUcRWGRSeGlMtHg,Saarbasar Saarbrücken,4.2,5402,Shopping mall,"Indoor shopping center with brand-name & specialized stores, plus a food court & car parking.","Breslauer Str. 1A, 66121 Saarbrücken, Germany","62HP+55 Saarbrücken, Germany",http://www.saarbasar.de/,+49 681 980130,7 AM–8 PM,Closed,7 AM–8 PM,7 AM–8 PM,7 AM–8 PM,7 AM–8 PM,7 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipO_7L5JIYGdWXYXpQlPNaCG-uPa7U2wiSTHjIWh=w408-h306-k-no,TRUE,49.2279375,7.0354375,einkaufszentrum in saarbrücken,2023-06-10T10:53:55.499Z,
https://www.google.com/maps/place/Saar-Center/data=!4m7!3m6!1s0x4795b4029a64dfa3:0xfa102f5caacdab3f!8m2!3d49.2345316!4d6.9931555!16s%2Fg%2F11f3n1yt21!19sChIJo99kmgK0lUcRP6vNqlwvEPo,Saar-Center,4.3,94,Shopping mall,,"Berliner Promenade 19, 66111 Saarbrücken, Germany","6XMV+R7 Saarbrücken, Germany",http://www.saarcenter.de/,,9:30 AM–8 PM,Closed,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipMHa7ivtuwmPGtepQGg1eUChxVoB_CZbdgtq_tE=w408-h306-k-no,FALSE,49.2345625,6.9931875,einkaufszentrum in saarbrücken,2023-06-10T10:54:01.585Z,
"https://www.google.com/maps/place/Diskontopassage/@49.2343966,6.9946821,17z/data=!3m1!4b1!4m6!3m5!1s0x4795b58c37e0793b:0x4086cdbdfff76444!8m2!3d49.2343966!4d6.9946821!16s%2Fg%2F11rxymp3r6",Diskontopassage,,7,Shopping mall,,"Diskontopassage, 66111 Saarbrücken, Germany","6XMV+QV Saarbrücken, Germany",,,,,,,,,,,,FALSE,49.2344375,6.9946875,einkaufszentrum in saarbrücken,2023-06-10T10:54:07.893Z,
"https://www.google.com/maps/place/Einkaufsbahnhof+Saarbr%C3%BCcken+Hbf/@49.2409963,6.9917477,17z/data=!3m1!4b1!4m6!3m5!1s0x4795b7b24adbb65f:0x2b298c80c1fd9a6!8m2!3d49.2409963!4d6.9917477!16s%2Fg%2F11sc2fsjgf",Einkaufsbahnhof Saarbrücken Hbf,,,Shopping mall,,"Am Hbf 6-12, 66111 Saarbrücken, Germany","6XRR+9M Saarbrücken, Germany",https://www.einkaufsbahnhof.de/saarbruecken-hauptbahnhof/,,,,,,,,,,,TRUE,49.2409375,6.9916875,einkaufszentrum in saarbrücken,2023-06-10T10:54:15.034Z,
https://www.google.com/maps/place/Kaufhaus+S.+Baum/data=!4m7!3m6!1s0x4795b5c9a3e627dd:0x634381e0258e87b0!8m2!3d49.2143701!4d7.0358257!16s%2Fg%2F11h7n76gm1!19sChIJ3Sfmo8m1lUcRsIeOJeCBQ2M,Kaufhaus S. Baum,4.6,5,Shopping mall,,"Saarbrücker Str. 60, 66130 Saarbrücken, Germany","627P+P8 Saarbrücken, Germany",,,9 AM–6 PM,Closed,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipMM3Ok0MzijCh6-WxU_P805vXPK05_JByz_56Rh=w408-h286-k-no,FALSE,49.2143125,7.0358125,einkaufszentrum in saarbrücken,2023-06-10T10:54:19.488Z,
https://www.google.com/maps/place/Dudo+Galerie/data=!4m7!3m6!1s0x4795b7022a7ae63d:0xe65f3a8298cc657c!8m2!3d49.2755928!4d7.0361476!16s%2Fg%2F11c4bg5z04!19sChIJPeZ6KgK3lUcRfGXMmII6X-Y,Dudo Galerie,3,87,Shopping mall,,"Am Markt 1, 66125 Saarbrücken, Germany","72GP+6F Saarbrücken, Germany",,,9 AM–3 PM,Closed,8:30 AM–6 PM,8:30 AM–6 PM,8:30 AM–6 PM,8:30 AM–6 PM,8:30 AM–6 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipOeWSntq9uSY6eRo0NzjfB6s5OgEHwPNwENR87n=w427-h240-k-no,FALSE,49.2755625,7.0361875,einkaufszentrum in saarbrücken,2023-06-10T10:54:24.757Z,
https://www.google.com/maps/place/GLOBUS+Markthalle+Saarbr%C3%BCcken-Dudweiler/data=!4m7!3m6!1s0x4795b7ae8bfd02c9:0x96850938c064e8d0!8m2!3d49.28992!4d7.026409!16s%2Fg%2F11pyl6llvz!19sChIJyQL9i663lUcR0OhkwDgJhZY,GLOBUS Markthalle Saarbrücken-Dudweiler,4.1,500,Shopping mall,,"Fischbachstraße 121, 66125 Saarbrücken, Germany","72QG+XH Saarbrücken, Germany",https://www.globus.de/dudweiler/index.php,+49 6897 81050,8 AM–8 PM,Closed,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipNcw3oLRFRMg_GSWt7z-arqS3hgkrsaJVMMKtsU=w523-h240-k-no,TRUE,49.2899375,7.0264375,einkaufszentrum in saarbrücken,2023-06-10T10:54:29.347Z,
https://www.google.com/maps/place/GALERIA+Saarbr%C3%BCcken+am+St.+Johanner+Markt/data=!4m7!3m6!1s0x4795b402ce7e0eb9:0xab916604fe5f4fdc!8m2!3d49.2336766!4d6.9944698!16s%2Fg%2F113hqtgqh!19sChIJuQ5-zgK0lUcR3E9f_gRmkas,GALERIA Saarbrücken am St. Johanner Markt,4,5242,Department store,· In-store shopping · In-store pick-up,"Bahnhofstraße 15, 66111 Saarbrücken, Germany","6XMV+FQ Saarbrücken, Germany",https://www.galeria.de/filialen/l/saarbrucken/bahnhofstrasse-15/001186,+49 681 30170,10 AM–8 PM,Closed,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipNlyDzZqm34exBDAWwRqutq0BI8o3ld98L_Z1gq=w426-h240-k-no,TRUE,49.2336875,6.9944375,shopping in Saarbrücken,2023-06-10T10:55:03.001Z,
https://www.google.com/maps/place/Primark/data=!4m7!3m6!1s0x4795b6a9b0a391db:0x1232f8ab14737d0b!8m2!3d49.2369592!4d6.9919277!16s%2Fg%2F1hm2b0jw_!19sChIJ25GjsKm2lUcRC31zFKv4MhI,Primark,3.9,7410,Clothing store,"Discount fashion chain offering clothes and accessories for all ages, plus homewares. · In-store shopping","Bahnhofstraße 81-85, 66111 Saarbrücken, Germany","6XPR+QQ Saarbrücken, Germany",https://stores.primark.com/germany/saarbrucken/bahnhofstrasse-81-85?y_source=1_ODU3OTQ2OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+49 681 30140084,10 AM–8 PM,Closed,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,10 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipOvxIyHcVAO-l7Z5jba1CKBuHW4ZOgz4JvsPGUg=w408-h331-k-no,TRUE,49.2369375,6.9919375,shopping in Saarbrücken,2023-06-10T10:55:08.520Z,
https://www.google.com/maps/place/Galeria+Kaufhof/data=!4m7!3m6!1s0x4795b6a9aa500521:0x8bbea1c4a48733b2!8m2!3d49.2375909!4d6.9926216!16s%2Fg%2F11qml_qcmp!19sChIJIQVQqqm2lUcRsjOHpMShvos,Galeria Kaufhof,3.7,19,Department store,· In-store shopping,"Passagestraße, 66111 Saarbrücken, Germany","6XQV+22 Saarbrücken, Germany",https://www.galeria.de/,,9:30 AM–8 PM,Closed,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,9:30 AM–8 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipPmnzrDDjl1_kA9pLIxoHrLrqEq9zsRTaE2ZnE8=w532-h240-k-no,FALSE,49.2375625,6.9925625,shopping in Saarbrücken,2023-06-10T10:55:13.607Z,
https://www.google.com/maps/place/Contigo+Fairtrade+Shop/data=!4m7!3m6!1s0x4795b41d1f80e2cb:0x6d54055a97186dbf!8m2!3d49.2325456!4d6.9963099!16s%2Fg%2F11gh0jmp_p!19sChIJy-KAHx20lUcRv20Yl1oFVG0,Contigo Fairtrade Shop,4.8,11,Coffee roasters,,"Sankt-Johanner-Markt 27, 66111 Saarbrücken, Germany","6XMW+2G Saarbrücken, Germany",http://saarbruecken.contigo.de/,+49 681 30984086,10 AM–6 PM,Closed,10 AM–6 PM,10 AM–6 PM,10 AM–6 PM,10 AM–6 PM,10 AM–6 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipPJVCMf5QkzfEUs2DbfT27H4CM5_3Bj1DGEOuPv=w426-h240-k-no,TRUE,49.2325625,6.9963125,shopping in Saarbrücken,2023-06-10T10:55:18.608Z,
https://www.google.com/maps/place/GALERIA+Saarbr%C3%BCcken+am+Bahnhof/data=!4m7!3m6!1s0x4795b6a90a848219:0x6fa09ec04c88f7ad!8m2!3d49.2378529!4d6.9919683!16s%2Fg%2F1vc80rfp!19sChIJGYKECqm2lUcRrfeITMCeoG8,GALERIA Saarbrücken am Bahnhof,4.1,4798,Department store,· In-store shopping · In-store pick-up,"Bahnhofstraße 82-100, 66111 Saarbrücken, Germany","6XQR+4Q Saarbrücken, Germany",https://www.galeria.de/filialen/l/saarbrucken/bahnhofstrasse-82-100/001547,+49 681 30350,10 AM–7 PM,Closed,10 AM–7 PM,10 AM–7 PM,10 AM–7 PM,10 AM–7 PM,10 AM–7 PM,Open now,https://lh5.googleusercontent.com/p/AF1QipORArF_szKtqhuY2bOUGg8WGDWkvHJj4NF2mTCI=w426-h240-k-no,TRUE,49.2378125,6.9919375,shopping in Saarbrücken,2023-06-10T10:55:23.305Z,
